"year","cgHeadId","cgPlaId","startDateEarly","startDateLate","endDateEarly","endDateLate","note"
2011,2011001072,804,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001073,748,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011001074,5487,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001075,5489,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001077,5504,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001078,5504,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001076,5504,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001080,5505,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001081,5506,"2011-07-26","2011-07-30","2011-08-06","2011-08-10",
2011,2011001082,5506,"2011-07-20","2011-07-24","2011-08-05","2011-08-05",
2011,2011001083,5510,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001085,5523,"2011-07-20","2011-07-24","2011-07-31","2011-07-31",
2011,2011001084,5523,"2011-07-20","2011-07-24","2011-07-31","2011-07-31",
2011,2011001086,5524,"2011-07-20","2011-07-24","2011-07-26","2011-07-30","questionable flowering;check achene ct"
2011,2011001087,5525,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001088,5528,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001089,5529,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001090,5530,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001091,5532,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001093,5543,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001092,5543,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001094,5544,"2011-07-26","2011-07-30","2011-08-06","2011-08-10",
2011,2011001095,5544,"2011-07-24","2011-07-24","2011-08-01","2011-08-04",
2011,2011001096,5544,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001097,5544,"2011-07-26","2011-07-30","2011-07-31","2011-07-31",
