cgPlaId,cgHdId,startDtEarly,startDtLate,endDtEarly,endDtLate,phenYear,phenNote
2435,2013002221,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
2435,2013002222,"2013-07-14 00:00:00","2013-07-14 00:00:00","2013-07-24 00:00:00","2013-07-24 00:00:00",2013,
2450,2013002223,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-15 00:00:00","2013-08-15 00:00:00",2013,
2452,2013002224,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-06 00:00:00","2013-08-06 00:00:00",2013,
2466,2013002225,"2013-07-12 00:00:00","2013-07-12 00:00:00","2013-07-21 00:00:00","2013-07-21 00:00:00",2013,
2467,2013002226,"2013-07-27 00:00:00","2013-07-27 00:00:00","2013-08-15 00:00:00","2013-08-15 00:00:00",2013,
2487,2013002227,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
2487,2013002228,"2013-07-25 00:00:00","2013-07-25 00:00:00","2013-08-18 00:00:00","2013-08-18 00:00:00",2013,
2493,2013002229,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
2502,2013000001,"2013-07-29 00:00:00","2013-07-29 00:00:00","2013-08-17 00:00:00","2013-08-17 00:00:00",2013,
2502,2013000002,"2013-08-06 00:00:00","2013-08-06 00:00:00","2013-08-16 00:00:00","2013-08-16 00:00:00",2013,
2505,2013000003,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,
2505,2013000004,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,
2506,2013000005,"2013-07-25 00:00:00","2013-07-25 00:00:00","2013-08-10 00:00:00","2013-08-10 00:00:00",2013,
2507,2013000006,"2013-07-15 00:00:00","2013-07-15 00:00:00","2013-07-27 00:00:00","2013-07-27 00:00:00",2013,
2508,2013000007,"2013-08-07 00:00:00","2013-08-07 00:00:00","2013-08-27 00:00:00","2013-08-27 00:00:00",2013,
2509,2013000008,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-14 00:00:00","2013-08-14 00:00:00",2013,
2509,2013000009,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-06 00:00:00","2013-08-06 00:00:00",2013,
2519,2013000010,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
2520,2013000011,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,
2524,2013000012,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,
2524,2013000013,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-16 00:00:00","2013-08-16 00:00:00",2013,1 immature 8/15/13
2535,2013000014,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-11 00:00:00","2013-08-11 00:00:00",2013,
2543,2013000015,"2013-07-31 00:00:00","2013-07-31 00:00:00","2013-08-15 00:00:00","2013-08-15 00:00:00",2013,
2548,2013000016,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-14 00:00:00","2013-08-14 00:00:00",2013,
2549,2013000017,"2013-07-25 00:00:00","2013-07-25 00:00:00","2013-08-10 00:00:00","2013-08-10 00:00:00",2013,
2550,2013000018,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,
2557,2013000019,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-30 00:00:00","2013-07-30 00:00:00",2013,
2574,2013000020,"2013-07-28 00:00:00","2013-07-28 00:00:00","2013-08-14 00:00:00","2013-08-14 00:00:00",2013,
2574,2013000021,"2013-08-04 00:00:00","2013-08-04 00:00:00","2013-08-21 00:00:00","2013-08-21 00:00:00",2013,
2574,2013000022,"2013-08-06 00:00:00","2013-08-06 00:00:00","2013-08-25 00:00:00","2013-08-25 00:00:00",2013,
2576,2013000023,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-16 00:00:00","2013-08-16 00:00:00",2013,1 immature 8/15/13
2576,2013000024,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,
2578,2013000025,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-10 00:00:00","2013-08-10 00:00:00",2013,
2578,2013000026,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
2578,2013000027,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-09 00:00:00","2013-08-09 00:00:00",2013,Why is this bagged
2578,2013000028,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-06 00:00:00","2013-08-06 00:00:00",2013,
2581,2013000029,"2013-07-27 00:00:00","2013-07-27 00:00:00","2013-08-11 00:00:00","2013-08-11 00:00:00",2013,
2584,2013000030,"2013-07-29 00:00:00","2013-07-29 00:00:00","2013-08-20 00:00:00","2013-08-20 00:00:00",2013,1 imm 8/19/13
